Anyone can do that.	任何人都可以做到。
I'm from Tokyo.	我来自东京。
Our eyes take time to adjust to the dark.	我们的眼睛需要时间来适应黑暗。
They told me that I would feel a little better if I took this medicine.	他們告訴我吃完這個藥我就會覺得舒服一點。
I didn't pass.	我没通过。
I spent 10 dollars on it.	我在这东西上花了十美元。
Why do you want to know what I'm thinking?	為什麼你想知道我在想什麼?
I think you should make the deal.	我看你该做这交易。
She knows a lot about the latest fashions.	她很了解最新的時尚趨勢。
It's none of your business.	跟你没半毛钱关系。
It's difficult for me to understand French when it's spoken quickly.	法语说得快，我就难以理解。
You were considerate not to disturb us.	你考虑周到，没有打扰我们。
I looked over my shoulder.	我回過頭去。
Four hundred million people speak English as their first language.	四億人以英語作為他們的第一語言。
Tom has no siblings.	Tom沒有兄弟姊妹。
She has beautiful handwriting.	她的筆跡很美。
I think my French isn't very good.	我认为我的法语不太好。
When I opened the door, I found him asleep.	当我打开门的时候，我发现他睡着了。
I don't think anyone can do this.	我认为没人能做到。
She disappeared.	她消失了。
You should be more careful.	你應該要更小心。
I am happy to have so many good friends.	我很高興有這麼多好朋友。
I study English and Japanese.	我学习英语和日语。
He asked me whether I was busy.	他问我是否很忙？
There wasn't any furniture in that room.	那個房間裡沒有任何傢俱。
He asked for a drink of water.	他要了水喝。
The student handed the examination papers in to the teacher.	該學生把考試卷交給了老師。
Pass me the salt, will you?	請把鹽遞給我，好嗎？
I'm just a plain old office worker.	我只是一個普通的老式上班族。
Are you Tom?	你是汤姆吗？
What do you think of Japanese food?	你覺得日本料理怎麼樣？
I went there because I wanted to.	我去了那裡，因為我想去。
Leave my camera alone.	別碰我的相機。
None of my friends drink coffee.	我的朋友都不喝咖啡。
She made the doll for me.	她為我做了這個娃娃。
She sat on the bench.	她坐在長椅上。
That's a good idea!	真是个好主意！
The sun went below the horizon.	太陽落到地平線下了。
I will obey.	我会听从指示。
I think that fact is very important.	我認為事實非常重要。
You'd better not go out today.	你今天最好不要出門。
We are to be married next Sunday.	我们将于下周日结婚。
He came home late in the evening.	他晚上很晚回家。
Cities are exciting places, but also stressful.	城市是令人興奮的地方，但也會讓人產生壓力。
Who touched my gun?	誰碰了我的槍？
It seems that I have lost my keys.	我好像丢了我的钥匙。
Have you still not finished paying for my bike?	你还没有为我的自行车付完款吗？
Do not fear the unexpected, but be prepared for it.	不要害怕意外，但要有準備。
Tom is out of your league.	汤姆不在你的联盟里。
Keep it.	留着吧。
Dogs bark.	狗会叫。
What time will you get to the station?	你几点会到车站？
I want to just focus on the positive.	我只想注意积极方面。
The Swiss consume a large amount of beer.	瑞士人消耗不少啤酒。
My brother likes horror movies.	我哥哥喜歡恐怖電影。
What is your date of birth?	你的生日是几号？
They won't find Tom.	他们不会找到汤姆。
Did you buy juice?	你有買果汁嗎？
This is a good book for children to read.	这是本对儿童好的书。
You don't have to go to school on Sunday.	你没必要周日去上学。
I am willing to attend the meeting.	我願意參加這場會議。
I ate bread and butter this morning.	今天早上，我吃了面包夹黄油。
Why don't you have some sushi?	为什么不尝尝寿司？
He had a shower before breakfast.	他在早餐前洗了个澡。
Are you a wizard?	你是个术士吗？
He took her out for a drive.	他帶她出去兜風了。
It snowed for ten consecutive days.	雪持续下了十天。
Does it matter to you how much it costs?	它花多少钱对你很重要吗？
I am cold.	我冷。
We have little chance of winning.	我們獲勝的機會很少。
Can I see this one?	我能看看這個嗎？
I am a bit drunk.	我有點醉了。
His advice is always very sensible.	他的忠告总是很明智。
No one escaped alive.	沒有人生還。
I wouldn't ask this of you if it weren't important.	如果不是它很重要，我不會問你。
We found the footprints in the sand.	我們發現了沙灘上的腳印。
You made a mistake.	你犯了个错误。
The car he's driving is not his.	這輛他正在開的車不是他的。
We've already partied all night.	我们已经开了一整夜的派对了。
Can I have a look at your newspaper?	我能不能看一下你的报纸？
They grow oranges in California.	他们在加利福尼亚种橙子。
Did Tom not know what to do?	汤姆不知道该做什么吗？
I wish he were here now.	我希望他現在在這裡。
It's frozen hard.	真的很冰冷。
Lake Towada is famous for its beauty.	十和田湖以它的美麗聞名。
I'm going to America this summer.	我今年夏天要去美國。
Wait here.	在这等着。
There isn't any milk in the glass.	這個玻璃杯裡沒有任何的牛奶。
I like dogs, but my sister likes cats.	我喜歡狗，但我姊喜歡貓。
Choose the color you like the best.	選你最喜歡的顏色。
Can you name one of their songs?	你能够说出一首他们的歌的名字吗？
Check, please.	請結帳。
Could you please talk a bit louder? I can't hear very well.	你能大声点讲吗？我听不太清。
How tall are you?	你多高?
I go by the nickname "Itch."	我用我的暱稱"Itch"。
She gave us a vague answer.	她給了我們一個模糊的答案。
I am an only child.	我是獨生子。
He helped the lady into the car.	他幫助這位女士上車。
The planets revolve around the sun.	行星繞著太陽轉。
How was the seminar?	这研究会怎么样？
I have a dog.	我有一条狗。
I met her late in the evening.	我在深夜遇見了她。
I'm looking over his report.	我在阅读他的报告。
He vowed to give up smoking.	他发誓要戒烟。
You're your own worst enemy.	你是你自己最大的敌人。
I'm sorry, but it's impossible.	我很抱歉, 但它是不可能的。
It's true that she's dead.	她确实死了。
There is a large supermarket.	有一個大型超市。
The population of Japan is larger than that of New Zealand.	日本的人口比新西兰多。
I know what you meant.	我知道你是什么意思。
It's boring to stay at home.	呆在家里很无聊。
He had his shirt on inside out.	他把他的襯衫穿反了。
I'm not ashamed of my father being poor.	我父亲很穷并不让我觉得丢脸。
We discussed the plan yesterday.	昨天我們討論了這個計劃。
All of my attempts have failed.	我所有的尝试都失败了。
My older brother is a teacher.	我哥哥是一名教師。
As he spoke, pictures came into my mind.	他说的时候，我脑中浮现出了画面。
He wrote one letter.	他写了一封信。
Everybody is alive.	所有人都是活着的。
I think you're sitting in my seat.	我想你坐到我的座位了。
He hid it behind the door.	他把它藏在了门后。
Although old, he is still very much alive.	虽然上了年纪,他依旧充满活力。
The boy who lives next door often comes home late.	住在隔壁的男孩常常很晚回来。
Call the police!	报警！
This is quite good.	这可真好。
Even with all his wealth and fame, he's unhappy.	尽管有金钱和名誉，他还是不幸福。
His plan was discarded.	他的计划被驳回了。
Let's take a break now.	现在，让我们休息一会儿吧。
I studied English for four years with a native speaker.	我跟英语母语者学了四年英语。
Days are getting longer.	白天越來越長了。
It took months.	它花了几个月。
I'm curious.	我很好奇。
I was embarrassed by what she said.	她說的話讓我覺得很尷尬。
None of the money is yours.	這些錢都不是你的。
Nobody knows why he turns down my help.	沒有人知道他為何拒絕我幫忙。
There's a book about dancing on the desk.	桌子上有一本关于舞蹈的书。
Was he still here when you arrived?	當你到達的時候他還在這裡嗎？
He talks as if he knows everything.	他說起話來好像他什麼都知道。
It's just your imagination.	这只是你的想象。
Are you for or against the plan?	你赞成还是反对这个计划？
My aunt gave me an album.	我姑姑給了我一張唱片專輯。
I got a new pair of shoes.	我得到了一雙新鞋。
Can I register for that class?	我可以登記這堂課嗎？
What's your advice?	你有什么建议呢？
I didn't have to study yesterday.	我昨天不必讀書。
He never looks down on poor people.	他從未看不起窮人。
You must do it.	你必須去做。
Are you serious?	你是认真的吗？
Read as much as possible.	盡可能地多閱讀書籍。
Why don't you join our party?	你為什麼不參加我們的派對？
They studied English yesterday.	他們昨天學習英語。
What can Tom do?	汤姆能做什么？
I'm crazy about football.	我愛足球愛瘋了。
The cancer has spread to her stomach.	癌細胞已經擴散到她的胃。
It's about a ten-minute drive from here.	從這裡大約10分鐘車程。
Don't give up!	不要放棄!
Where is your house?	您的家在哪？
We live together.	我們住在一起。
People look at things differently depending on whether they are rich or poor.	人們看待事情的角度不同取決於他們是富裕或貧窮。
Please come.	请来吧。
Life is full of ups and downs.	人生充滿了高低起伏。
Tom lost his credibility.	湯姆失去了信譽。
Students generally like a teacher who understands their problems.	通常学生们喜欢理解他们问题的老师。
Do you often hear from him?	你常常收到他的音訊嗎？
I want to leave Paris.	我想离开巴黎。
Let me say one thing.	讓我說一件事情。
Bring me a bucket of water.	給我一桶水。
Tom said he'd be willing to do this.	汤姆说他乐意做这事。
Please write to me about conditions at your school.	请写信告诉我你们学校的情况。
My uncle made a will last year.	我叔叔去年立下了遺囑。
See above.	参见上文。
While you're young, you should read a lot.	當你年輕的時候, 你應該多讀點兒書。
Don't forget to bring a camera.	别忘了带个相机。
I do not understand.	我不懂。
The boy didn't change his opinion.	這個男孩沒有改變他的意見。
Tom was replaced by Mary.	汤姆被玛丽替换下来。
Dad's in an impatient mood today.	爸爸今天很不耐烦。
Restart your computer.	重新启动你的电脑。
His wife gave birth to twin boys.	他的妻子生下了一對雙胞胎男孩。
She was advised by him to go to the police.	他勸她去報警。
Tom couldn't help but smile.	汤姆帮不了，只能笑笑。
Where did you go for vacation?	你去哪裡度假了?
It's very big of you to admit you're wrong.	你能承认你错了是很伟大的。
They won't allow us to enter the garden.	他们不会允许我们进花园的。
He looks like his father.	他看起來像他的父親。
I love this car.	我愛這台車。
You should take the number 5 bus.	您应该乘5路车。
Do I need to transfer?	我需要换乘吗?
He likes French more than German.	他喜歡法語勝過德語。
They are proud of their daughter.	他們以他們的女兒為榮。
Don't ask her any questions about her marriage.	不要問她任何有關婚姻的問題。
Millions were affected that day.	那天有數百萬人受影響。
We must finish everything before Tuesday morning.	周四早上之前我们要全部完成。
Compare your answers with the teacher's.	把你的答案和老师的比较一下。
We don't have too much time.	我们没有太多时间。
The economy of the island is dependent on the fishing industry.	这个岛的经济依靠的是渔业。
Yes, I have a good idea.	是的，我有一個好主意。
He went to the store.	他去了商店。
He is but a child.	他不过是个孩子。
I forgot to ask Tom.	我忘了问汤姆。
Tom and Mary have three cats and two dogs.	Tom和Mary有三隻貓和兩隻狗。
It is a sheer waste of time.	這完全是浪費時間。
Time is the most precious thing in the world.	时间是世界上最宝贵的东西。
Tom thanked me for the gift.	湯姆為這個禮物感謝我。
We must not break our promise.	我們不能違背我們的承諾。
What did you go to Kyoto for?	你為什麼去京都?
Father would often read detective stories in his spare time.	父亲常常在空闲时间读侦探小说。
The prisoner was given his freedom.	囚犯重獲自由。
Could you call a doctor, please?	你能請個醫生來嗎？
She got out of the car.	她下了車。
It's six o'clock already.	已經六點鐘了。
Drivers should wear seat belts.	司機應該繫安全帶。
Thanks for accepting my friend request on Facebook.	謝謝你接受我Facebook的交友邀請。
Her father is an excellent pianist.	她的父親是一位優秀的鋼琴家。
The things he says are entirely inconsequential.	他说的话根本毫无意义。
Tom asked me to tell you he didn't plan on going to Boston with you.	汤姆让我告诉你他没有计划和你一起去波士顿。
This dictionary is mine.	这本字典是我的。
Does she know your phone number?	她知道你的電話號碼？
What on earth are you talking about?	你到底在談什麼?
Close the door.	关门。
Their trip was postponed because of the rain.	他们的旅行因为下雨延期了。
The king governed the country.	國王統治了這個國家。
I like spring the best of the seasons.	春天是我最喜歡的季節。
Can I borrow your car?	我能借你的车吗？
I hope that is not the case.	我希望事情並非如此。
Some of the essays are very interesting.	這些文章中有一些非常有趣。
Could you bring me some water?	你能帶給我一些水嗎？
You should've told me yesterday.	你昨天就该告诉我了。
She made tea for me.	她给我泡了茶。
Speaking Japanese is easy for me.	說日語對我來說很容易。
My father's hobby is growing roses.	我父親的嗜好是種玫瑰花。
They will tear down the old building in two days.	他們將在兩天內拆除這棟舊的建築物。
It's an easy victory.	這是一個輕鬆取得的勝利。
Singing is her strong point.	唱歌是她的强项。
When can we eat?	我們什麼時候可以吃？
I will be busy this afternoon.	我今天下午會很忙。
He stayed at his aunt's house.	他呆在他阿姨家。
Who is the girl in this picture?	這張照片裡的女孩是誰？
My father made a shelf for me.	我父親為我做了個架子。
If you can't have children, you could always adopt.	如果你不能有孩子，你总能领养。
He returned at six.	他六点回来了。
Don't judge a man by his clothes.	不要以穿著來判斷一個人。
We will reach London before dark.	我們會在天黑前到達倫敦。
He has no reason to be late.	他迟到没有理由。
Do you want to get some lunch?	你想吃点午饭吗？
My aunt made me a new skirt.	我嬸嬸做了一條新裙子給我。
Mary came on her own.	Mary自己一個人來。
Will you show me what you bought?	你愿意给我看看你买了什么吗？
Approximately thirty young people attended.	约有三十个年轻人到了。
He went fishing instead of playing tennis.	他去钓鱼了，而没去打网球。
My wife wants to adopt a child.	我妻子想收养一个孩子。
I read the book after I had finished my homework.	我做完我的功课后，就读这本书。
Tom's check bounced.	汤姆的支票被退票了。
I don't want to work under these conditions.	我不想在这些条件下工作。
The paint was coming off the wall.	油漆從牆上脫落。
What do the initials NTT stand for?	NTT這個縮寫是什麼意思？
Tom said he wasn't ready, but Mary said she was.	汤姆说他没准备好，但玛丽说她准备好了。
Tom is anxious to see you.	Tom非常渴望见到你。
Although I was tired, I did what I was able to do.	雖然我很累，但是我已經做了我能做的了。
Children sometimes lack patience.	孩子通常没有耐心。
Wait here for a while.	在这儿等一会儿。
He was mad because he was not invited.	他因为没有被邀请而气得快疯了。
What's the worst-case scenario?	最坏的情境是什么？
The blue lines on the map represent rivers.	地图上的蓝线代表河流。
Was that too much?	那太多了吗？
He doesn't have a job. He's retired.	他没有工作，他退休了。
Married people sometimes wish they were single.	已婚的人有時候希望他們是單身，。
He was almost hit by a car.	他差點被一輛汽車撞上了。
See you later.	再见。
Can you ride a horse?	您会骑马吗？
Are you free tomorrow afternoon?	你明天下午有空吗？
Our child likes dogs, but I prefer cats.	我们的孩子喜欢狗，但我更喜欢猫。
Compared to our house, yours is a mansion.	跟我们的房子比，你的就是个豪宅。
It's really not important.	真的不重要。
We got behind the car and pushed.	我們到車子後面推車。
It is up to you to decide whether we will go there or not.	我们去不去那儿由你来决定。
China is about twenty-five times as large as Japan.	中国的版图大概是日本的二十五倍。
Where is the cafeteria?	自助餐厅在哪里？
My sister is cooking in the kitchen.	我妹妹正在厨房做饭。
The ice on the lake is too thin to bear your weight.	湖上的冰太薄了，承受不了你的重量。
It wasn't as expensive as I expected.	它沒有我想像的那麼貴。
I have a home.	我有一个家。
She greeted me with a big smile.	她面帶大大的笑容向我招呼。
These products are of the same quality.	这些产品质量同等。
Someone is calling you.	有人在叫你。
I will stand by you whatever happens.	不论发生什么事，我都会在你身边。
You must be back by 10 o'clock.	你必須在10點前回來。
Just say no.	只要說不。
I can't believe that.	我不能相信。
I haven't quite finished eating.	我還沒有完全吃完。
I'd rather not go out this evening.	我今天晚上寧可不要出門。
He is used to making speeches.	他習慣於作演說。
I want to become an engineer.	我想要成為一位工程師。
He ate a box of chocolates.	他吃了一盒巧克力。
A computer is a complex machine.	电脑是个复杂的机器。
It was Marie Curie who discovered radium.	鐳是居里夫人所發現的。
That makes sense.	那是有道理的。
Don't forget to sign your name.	不要忘記簽上你的名字。
What Tom really wanted was enough money to buy Mary some flowers.	汤姆真正想要的是有足够的钱给玛丽买一些花。
I'm fed up with this weather.	我受够了这天气。
Each student has a locker.	每個學生都有一櫃子。
This movie is worth seeing again.	這部電影值得再看一遍。
There is a park near my house.	我家附近有一個公園。
Did you go to London that day?	你那天去了倫敦嗎？
Do you go often?	您经常去吗？
He knows how to read Chinese.	他看得懂中文。
Why were you there?	你為什麼在那裡?
Nothing seems to grow in this soil.	這個土壤似乎長不出任何東西來。
We met in a coffee shop near the campus.	我們在校園附近的咖啡廳碰面。
Tom quit.	汤姆不干了。
Sing us a song, please.	請為我們唱首歌吧。
Do you know how to drive a car?	你知道如何開車嗎？
She likes to listen to music.	她喜欢听音乐。
There's an outside chance of winning.	贏的機會微乎其微。
When the cat is away, the mice will play.	貓兒不在，老鼠玩的輕鬆自在。
It is hard for me to believe this.	我觉得这难以置信。
He's not home.	他不在家。
Your composition has a few mistakes.	你的作文有一些錯誤。
Can I eat this orange?	我能吃这只橙子吗？
Tom kept me waiting all afternoon.	Tom让我等了一下午
She and I are classmates.	她和我是同學。
Do you want anything to eat?	你想要吃任何東西嗎?
It snowed from Monday to Friday.	雪从周一下到周五。
We made inquiries into his past.	我們對他的過去進行了調查。
How long would it take?	要多长时间？
I know those women.	我認識那些女人。
We're intimate friends.	我們是親密的朋友。
The show was wonderful, but the tickets were too expensive.	这场秀棒极了，但是门票太贵了。
How do you view this matter?	您怎麼看這個問題？
That meat is chicken.	那個肉是雞肉。
I hope that your brother is better.	我希望你弟弟好点了。
The children went out to play.	孩子們出去玩了。
My mother is busy in the kitchen.	我的母親在廚房裡正忙著。
I want something hot to drink.	我想喝點熱的飲料。
He pretended that he was a lawyer.	他假裝是一位律師。
I want you to go.	我要你去。
The youngest daughter is exceptionally beautiful.	么女長得特別漂亮。
I know who likes Tom.	我知道谁喜欢汤姆。
I'm afraid she may have the mumps.	我怕她可能得了腮腺炎。
He asked me what I had bought.	他问我买了什么。
His comment was concise and to the point.	他的评论简洁且击中要害。
Goodbye and good luck.	再见，祝好运。
The light is on.	灯亮着。
I'm so stupid.	我真蠢。
This is my first time.	這是我的第一次。
What an idiot I am!	我真是個白痴！
These pictures are really very beautiful.	这些照片真美。
Tom looked around, but saw no one.	Tom看了看周圍，但沒看到任何人。
Perhaps she will come tomorrow.	也許她明天會來。
Here's the change.	这是找零。
AI means Artificial Intelligence.	AI是人工智能的略称。
This bomb can kill a lot of people.	这个炸弹可以炸死很多人。
The first item he bought was an alarm clock.	他买的第一项东西是一个闹钟。
It happens automatically.	它自动地发生了。
Tom has to do that right away.	汤姆必须马上去做。
He is a head taller than me.	他比我高一个头。
Read this.	念这个。
He has been waiting for an hour.	他已經等了一個小時。
I don't know what we'll do.	我不知道我们将会做什么。
Tom embraced his father.	汤姆拥抱了他的父亲。
What's the weather like?	天氣怎麼樣？
I find that it's typical for him to come too late.	我發現他就是會很晚才來這樣的人。
He did nothing but cry.	他只是哭。
The offer is too good to be turned down.	此提議好得令人難以拒絕。
The meeting ended earlier than usual.	會議比往常早結束。
Won't you have some tea with me?	你不和我一起喝点茶吗？
Do you know which road leads to my house?	你知道哪一條路到我家嗎?
Tom is our oldest son.	汤姆是我们最大的儿子。
Where is my book?	我的書在哪？
Tom is good at cooking.	湯姆擅長烹飪。
He always keeps his room clean.	他總是把他的房間保持乾淨。
Choose whichever you like.	選你喜歡的。
Tom cares about you.	汤姆关心你。
Your glasses fell on the floor.	你的眼镜掉在地上了。
The company spends a lot of money on advertising.	那家公司在广告上花了很多钱。
He should have bought a used car.	他應該買一輛二手車的。
Tom came a little earlier today than he usually does.	汤姆今天来得比往常要早一些。
What's your favorite item of clothing?	你最喜欢哪类的衣服？
When have you ever done anything for me?	你什么时候给我做事？
A wise man profits from his mistakes.	聰明人會從自己的錯誤中受益。
I would like to order drinks now.	我現在想點飲料。
Did you know that some foxes lived on this mountain?	你知道有些狐狸住在這座山上嗎?
Could you please repeat it once again?	請您再說一遍好嗎？
The well ran dry.	這口井乾涸了。
All of them are good teachers.	他们都是好老师。
She told us the road was closed.	她告訴我們道路被封閉了。
We were kids then.	我们那时是孩子。
My aunt grows tomatoes in her garden.	我阿姨在她的花園種蕃茄。
A friend in need is a friend indeed.	患難見真情。
Tom came over to my house for dinner yesterday.	汤姆昨天来我家吃晚饭。
Tom says they need more time.	汤姆说他们需要更多时间。
Well, have you decided?	那麼, 你決定好了嗎?
Our fence is made of iron.	我們的欄杆是鐵做的。
I usually take a bath after dinner.	我通常在晚飯後洗澡。
They have elected a new government.	他們選出了新政府。
Tom has always been very nice to me.	汤姆对我一直很好。
This doghouse was built by Tom.	这狗屋是汤姆建的。
A fly can walk on the ceiling.	蒼蠅能在天花板上走。
What does your father do?	你父亲是做什么的？
How about something cold to drink?	喝點冷飲怎樣？
Is she Japanese?	她是日本人嗎？
I am going to the store now.	我現在要去這家商店。
Tom told me that he won't come to school tomorrow.	汤姆告诉我他明天不来上学。
I can not bear this noise any more.	我无法再忍受那噪音了。
Both brothers are musicians.	两兄弟都是音乐家。
Thank you very much for your gift.	非常谢谢你的礼物。
I don't believe that.	我們不相信那個。
He shaved his mustache off.	他刮了他的胡子。
She gave me a watch.	她給了我一支手錶。
Turn the radio down a little.	把收音機的聲音關小一點。
Tom never forgets to give his wife flowers on their wedding anniversary.	汤姆从没忘记在婚礼周年纪念日送给他妻子花。
I have plenty of money with me.	我身上帶著很多錢。
School begins at half past eight.	学校8点半开始上课。
You're a beautiful young woman.	你是一个美丽的女孩。
This is my book.	这是我的书。
Somebody has stolen my suitcase.	有人偷了我的行李。
He went to London, where he stayed for a week.	他去了伦敦，并在那儿待了一周。
I have no place to sleep tonight.	我今晚沒地方睡覺。
He looks old, but he is still in his twenties.	他看上去老，但他还不到30岁。
She gave birth to twin girls.	她生了雙胞胎女兒。
You have put your hat on backwards.	你把帽子戴反了。
He has poor eyesight.	他的视力不佳。
He has never been late for school.	他從來沒有上學遲到。
Her eyes shone with joy when she saw that her mother was not mad at her.	當她看到媽媽沒在生她的氣，她的雙眼因為幸福而閃爍了。
He seldom comes to see me.	他很少来看我。
Your second button is coming off.	你的第二顆鈕扣快掉了。
We often played chess after school.	我們常常在放學後下棋。
I asked him for a favor.	我請他幫忙。
I can't live without TV.	没有电视，我无法生活。
She decorated her room with roses.	她用玫瑰花装饰了她的房间。
He studies much harder than before.	他比以前学得更努力了。
We climbed Mt. Fuji last summer.	去年夏天我們爬了富士山。
I don't have a good feeling about this.	我觉得这没什么好。
I remember having seen her somewhere.	我记得好像在哪里见过她。
Can you tell wheat from barley?	你能辨别小麦和大麦吗？
Would you please take my picture?	請你幫我照相好嗎？
There was a big fire last night.	昨晚發生了一場很大的火災。
Do you have to make dinner?	你必须做晚饭吗？
Speak clearly and make yourself heard.	講清楚並大聲地讓別人聽到你說話。
This year's fashions are completely different from last year's.	今年的时尚潮流完全不同于去年。
She's fluent in English.	她英語說得很流利。
What goes up must come down.	会起必会落。
They all did it.	他们都做了。
Are you planning to be at Tom and Mary's wedding?	你打算参加汤姆和玛丽的婚礼吗？
They believe in a life after death.	他們相信來世。
Leave my car alone.	不要碰我的車。
Call us.	联系我们。
After the revolution, France became a republic.	革命之後，法國成為了一個共和國。
If it rains tomorrow, we'll stay at home.	如果明天下雨，我们就呆在家。
Nowadays many people travel by car.	現在很多人開車去旅行。
Children love playing on the beach.	孩子們喜歡在沙灘上玩。
Am I wrong?	我錯了嗎？
A caged cricket eats just as much as a free cricket.	籠子裡的蟋蟀吃得跟野生的蟋蟀一樣多。
I saw you driving your new car.	我看到你開著你的新車。
It seems she hates you.	她好像很讨厌你。
What fruit do you like the best?	您最喜歡什麼水果？
I don't want to cause any more trouble.	我不想再惹事了。
I'm behind him.	我在他後面。
Did you enjoy yourself yesterday?	你昨天玩得開心嗎?
How many people work there?	有多少人在那里工作？
He has gone to London.	他去了伦敦。
More money for education will spur economic growth.	更多投資在教育的錢將會刺激經濟成長。
We celebrate Christmas every year.	我們每年都慶祝聖誕節。
He extended his right arm.	他伸长了他的右手。
Japan is famous for Mt. Fuji.	日本以富士山聞名。
Tom usually only eats oatmeal for breakfast.	汤姆通常早饭只吃燕麦。
Admission is free for children.	儿童免费入场。
Thou shalt not kill.	不可殺人。
Aren't you Tom?	你不是湯姆嗎？
A dog was run over by a truck.	一条狗被卡车碾过。
He kept me waiting all morning.	他讓我等了整整一上午。
Tom was puzzled by what Mary said.	汤姆被玛丽说的话给难倒了。
He was an excellent scientist, and what is more, was a great poet.	他是一位優秀的科學家，更是一位偉大的詩人。
No matter how often I tell her, she keeps making the same mistake.	不管我跟她说了多少次，她还是继续犯同样的错误。
That pasture is ten acres.	那個牧場有十英畝大。
I sometimes dream of my mother.	有時我夢見我的母親。
They are all college students.	他們都是大學生。
She tossed me grapes and I tried to catch them with my mouth.	她朝我丢葡萄，我试着用嘴接住它们。
This is the biggest car in the world.	这是世界上最大的车。
She took me for my brother.	她把我认作我弟弟了。
He went out in spite of the rain.	尽管下着雨，他还是出去了。
We thought his threat was only a joke.	我们觉得他的威胁只是一个玩笑。
He had an accident at work.	他在工作中出了意外。
Tell me about some of the places you've visited.	给我说说你去过的一些地方。
You must not talk to Tom.	你绝不能跟汤姆说话。
Do you offer any all-day tours?	你提供任何全日遊嗎？
Mary is helping her mother.	瑪麗正在幫忙她的母親。
The sky was clear when I left home.	当我离开家的时候天空很明朗。
He can pull strings for you.	他能为你暗箱操作。
You look bored.	你看起來很無聊。
Half a loaf is better than none.	聊勝於無、有比沒有好。
Tom fed his leftovers to his dog.	湯姆把他的廚餘餵給他的狗吃。
My friends all call me Tom.	我的朋友都叫我湯姆。
Tom abandoned hope.	湯姆放棄了希望。
We're in a hurry.	我們很匆忙。
I sat between Tom and John.	我坐在汤姆和约翰中间。
She was busy with housework.	她忙於家務。
The street was crowded with people.	街道上擠滿了人。
We don't need to attend that meeting.	我們不必參加那場會議。
Where is my umbrella?	我的傘在哪？
She speaks a little Arabic.	她说一点阿拉伯语。
I saw him looking at me.	我看見他在看我。
I know that feeling.	我知道那種感覺。
He's a bit lively.	他有点活泼。
Will you go to America next year?	你明年會去美國嗎？
This hotel was built last year.	這家旅館是去年蓋的。
She cleaned her room in a hurry.	她急忙地清掃了她的房間。
You may as well come with me.	你不如跟我一起來。
The good thing about this electronic dictionary is that it's easy to carry.	这电子辞典的好处就是便于携带。
Did you drive her home last night?	昨晚你把她送回家了吗？
He stuck his pencil behind his ear.	他把他的鉛筆放在他的耳朵後面。
I am reading a book about animals.	我正在讀一本關於動物的書。
He must have said so without giving it much thought.	他一定没有多考虑就说了。
He got injured in a traffic accident.	他在一場交通意外中受了傷。
I can't believe that you were the smartest kid in your class.	我不敢相信你是你们班里面最聪明的孩子。
Is this ladder strong enough to bear my weight?	这个梯子是否足够坚固以承受我的重量？
The food tasted slightly of garlic.	這個食物嚐起來有一點大蒜味。
Anything that can be misunderstood will be.	任何事都可以被誤解。
He left his luggage at the station.	他把他的行李留在車站。
She cooks chicken the way I like.	她用我喜歡的方式烹調雞肉。
I don't feel like eating anything today.	我今天不想吃东西。
I'm sorry.	对不起。
Tom sure talks a lot.	汤姆一定很能讲。
I promise that I'll come.	我保证我会来。
Russian is very difficult to learn.	俄語非常難學。
Place it wherever you like.	你想放在哪裡就放在哪裡。
May I have some more coffee?	我可以再要些咖啡嗎？
Please help yourself to some fruit.	請你隨便吃點水果。
Water the flowers before you have breakfast.	吃早餐之前先澆花。
I found the comic book very interesting.	我發現這本漫畫書非常有趣。
Fear quickly turned into anger.	恐惧很快变成愤怒。
I study French after dinner every day.	我每天吃过晚饭后都会学法语。
English is a hard language to learn.	英語是一種難學的語言。
It's not that simple.	它沒有那麼簡單。
Watch your step.	走路小心。
I wish I could go to Japan.	要是能去日本就好了。
We're going to have a test today.	我們今天將有一個考試。
Tom was a nurse.	汤姆是个护士。
He couldn't understand the sentence.	他無法理解這句話。
Is it all right to take pictures in this building?	我们可以在大楼里拍照吗？
He lost a book.	他弄丟了一本書。
This knife is very sharp.	这把刀很锋利。
I saw your brother the other day.	前幾天我看到了你哥哥。
No one came except Tom.	除了汤姆没有人来。
He was aware that I was around, but didn't come to greet me.	他注意到我在場，但是沒向我打招呼。
What fruit do you like the best?	你最喜欢什么水果？
That was the best day of my life.	那是我生命中最美的一天。
I like jazz music.	我喜歡爵士樂。
Why is the sky blue?	为什么天是蓝的？
They are making for the forest.	他们正向森林而去。
Stop fooling around.	不要隨便開玩笑。
She is good at playing tennis.	她擅長打網球。
All of the milk was spilled.	所有的牛奶都灑出去了。
Tom gave us nothing.	汤姆什么也没给我们。
Are you still living with your parents?	你依然和父母住一起吗？
She teaches reading and writing.	她教閱讀和寫作。
She gave me whatever help I needed.	她給了我任何我需要的幫助。
I slept just two hours.	我只睡了两小时。
I have hiccups.	我打嗝了。
The new Harry Potter movie is pretty lame.	哈利波特的新片十分差。
Tangerines contain a lot of vitamin C.	柳丁含有大量的維生素 C。
He wants to work in a hospital.	他想在醫院工作。
This makes me happy.	這讓我開心。
We are going to a dance tomorrow.	我們明天要去跳舞。
He applied himself to the study of music.	他潛心研究音樂。
I provided him with food.	我提供了他食物。
Have you handed in your homework?	你交功課了嗎？
